SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
ABREL,Century Textiles & Industries Limited,EQ,27-JUN-2003,10,1,INE055A01016,10
JKPAPER,JK Paper Limited,EQ,16-JUN-2005,10,1,INE789E01012,10
