SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
AFFLE,Affle (India) Limited,EQ,08-AUG-2019,2,1,INE00WC01027,2
MAPMYINDIA,C.E. Info Systems Limited,EQ,21-DEC-2021,2,1,INE0BV301023,2
LATENTVIEW,Latent View Analytics Limited,BE,23-NOV-2021,1,1,INE0I7C01011,1
TANLA,Tanla Platforms Limited,EQ,05-JAN-2007,1,1,INE483C01032,1
TATATECH,Tata Technologies Limited,EQ,30-NOV-2023,2,1,INE142M01025,2
